session_id,date,region,channel,experiment_group,pages_visited,time_on_site_min,product_views,purchase_prob,purchase_success,amount_spent,ad_impressions,clicks,days_since_last_purchase,satisfaction_rating
1,2025-03-03,Colombia,Retail,Discount Test,7,0.64,6,0.16,0,0.0,26,1,63.6,2.5
2,2025-01-26,México,Retail,Control,8,1.88,10,0.12,0,0.0,23,1,7.4,2.5
3,2025-01-21,Colombia,Retail,Control,2,1.23,5,0.1,0,0.0,22,3,45.9,2.6
4,2025-02-19,Perú,Retail,Control,6,0.95,7,0.11,0,0.0,15,0,97.1,2.3
5,2025-03-06,Perú,Online,Control,9,1.11,8,0.12,0,0.0,22,1,79.8,2.6
6,2025-02-07,Chile,Online,Discount Test,3,0.46,2,0.16,0,0.0,19,0,41.7,2.5
7,2025-03-29,Colombia,Retail,Discount Test,2,0.8,2,0.15,0,0.0,12,0,22.2,2.5
8,2025-03-02,Colombia,Online,Control,6,3.61,3,0.11,0,0.0,16,2,10.2,2.8
9,2025-02-12,Colombia,Online,Discount Test,3,0.49,6,0.16,0,0.0,21,4,9.8,2.6
10,2025-02-04,México,Online,Control,4,6.69,2,0.11,0,0.0,14,1,6.9,2.8
11,2025-01-31,Perú,Marketplace,Discount Test,7,8.45,8,0.16,0,0.0,22,4,4.6,2.6
12,2025-03-06,Colombia,Online,Discount Test,3,0.05,2,0.16,1,65.27,27,3,13.0,2.5
13,2025-02-09,Perú,Online,Discount Test,2,4.71,2,0.15,1,19.17,21,3,3.0,2.2
14,2025-01-06,Colombia,Online,Control,4,0.82,3,0.11,0,0.0,22,4,2.0,2.6
15,2025-02-05,Perú,Online,Discount Test,4,3.11,1,0.16,0,0.0,12,1,11.4,2.7
16,2025-03-07,México,Online,Control,8,0.96,7,0.12,0,0.0,20,0,68.2,2.6
17,2025-01-17,Chile,Online,Discount Test,6,4.25,7,0.16,0,0.0,17,3,34.3,2.7
18,2025-01-16,Chile,Online,Control,5,7.02,3,0.11,0,0.0,24,0,28.9,2.6
19,2025-02-17,México,Online,Discount Test,3,0.45,1,0.16,1,102.48,17,0,27.3,2.4
20,2025-02-17,Colombia,Online,Control,7,1.53,10,0.11,0,0.0,22,2,62.4,2.6
21,2025-02-26,Colombia,Retail,Discount Test,5,9.97,7,0.16,0,0.0,19,0,1.8,2.6
